Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/U0/net_slot_0_axis_tdata[15:0],design_1_i/system_ila_0/U0/net_slot_0_axis_tvalid,design_1_i/system_ila_0/U0/net_slot_0_axis_tready,design_1_i/system_ila_0/U0/net_slot_0_axis_tlast,design_1_i/system_ila_0/U0/net_slot_1_axis_tdata[15:0],design_1_i/system_ila_0/U0/net_slot_1_axis_tkeep[1:0],design_1_i/system_ila_0/U0/net_slot_1_axis_tvalid,design_1_i/system_ila_0/U0/net_slot_1_axis_tready,design_1_i/system_ila_0/U0/net_slot_1_axis_tlast,Interface_(i1:s0)_(AXI_wrap_0_M_AXIS)[2:0],Interface_(i1:s1)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s0)_(AXI_wrap_0_M_AXIS)[2:0],T_Channel_(i1:s1)_(axi_dma_0_M_AXIS_MM2S)[2:0]
0,0,0,0,0,1,0,0,0,0,1,0,"_","_","_","_"
1,1,0,0,0,1,0,0,0,0,1,0,"_","_","_","_"
2,2,0,0,0,1,0,0,0,0,1,0,"_","_","_","_"
3,3,0,0,0,1,0,0,0,0,1,0,"_","_","_","_"
4,4,0,0,0,1,0,0,0,0,1,0,"_","_","_","_"
5,5,1,0,0,1,0,38266,3,1,1,0,"_","Active","_","Stream Beat"
6,6,0,0,0,1,0,42326,3,1,1,0,"_","Active","_","Stream Beat"
7,7,0,0,0,1,0,36690,3,1,1,0,"_","Active","_","Stream Beat"
8,8,0,0,0,1,0,36690,3,1,1,0,"_","Active","_","Stream Beat"
9,9,0,0,0,1,0,42326,3,1,1,0,"_","Active","_","Stream Beat"
10,10,0,0,0,1,0,38266,3,1,1,0,"_","Active","_","Stream Beat"
11,11,0,0,0,1,0,37056,3,1,1,0,"_","Active","_","Stream Beat"
12,12,0,0,0,1,0,37951,3,1,1,0,"_","Active","_","Stream Beat"
13,13,0,0,0,1,0,37430,3,1,1,0,"_","Active","_","Stream Beat"
14,14,0,0,0,1,0,39466,3,1,1,0,"_","Active","_","Stream Beat"
15,15,0,0,0,1,0,25997,3,1,1,0,"_","Active","_","Stream Beat"
16,16,0,0,0,1,0,22538,3,1,1,0,"_","Active","_","Stream Beat"
17,17,0,0,0,1,0,22211,3,1,1,0,"_","Active","_","Stream Beat"
18,18,0,0,0,1,0,20977,3,1,1,0,"_","Active","_","Stream Beat"
19,19,0,0,0,1,0,24040,3,1,1,0,"_","Active","_","Stream Beat"
20,20,0,0,0,1,0,27761,3,1,1,0,"_","Active","_","Stream Beat"
21,21,0,0,0,1,0,22030,3,1,1,0,"_","Active","_","Stream Beat"
22,22,0,0,0,1,0,12045,3,1,1,0,"_","Active","_","Stream Beat"
23,23,0,0,0,1,0,28830,3,1,1,0,"_","Active","_","Stream Beat"
24,24,0,0,0,1,0,24393,3,1,1,0,"_","Active","_","Stream Beat"
25,25,0,0,0,1,0,28067,3,1,1,0,"_","Active","_","Stream Beat"
26,26,0,0,0,1,0,30450,3,1,1,0,"_","Active","_","Stream Beat"
27,27,0,0,0,1,0,25793,3,1,1,0,"_","Active","_","Stream Beat"
28,28,0,0,0,1,0,28291,3,1,1,0,"_","Active","_","Stream Beat"
29,29,0,0,0,1,0,35103,3,1,1,0,"_","Active","_","Stream Beat"
30,30,0,0,0,1,0,35117,3,1,1,0,"_","Active","_","Stream Beat"
31,31,0,0,0,1,0,28746,3,1,1,0,"_","Active","_","Stream Beat"
32,32,0,0,0,1,0,26007,3,1,1,0,"_","Active","_","Stream Beat"
33,33,0,0,0,1,0,26868,3,1,1,0,"_","Active","_","Stream Beat"
34,34,0,0,0,1,0,24122,3,1,1,0,"_","Active","_","Stream Beat"
35,35,0,0,0,1,0,30363,3,1,1,0,"_","Active","_","Stream Beat"
36,36,0,0,0,1,0,27687,3,1,1,0,"_","Active","_","Stream Beat"
37,37,0,0,0,1,0,34895,3,1,1,0,"_","Active","_","Stream Beat"
38,38,0,0,0,1,0,29218,3,1,1,0,"_","Active","_","Stream Beat"
39,39,0,0,0,1,0,27089,3,1,1,0,"_","Active","_","Stream Beat"
40,40,0,0,0,1,0,32048,3,1,1,0,"_","Active","_","Stream Beat"
41,41,0,0,0,1,0,31032,3,1,1,0,"_","Active","_","Stream Beat"
42,42,0,0,0,1,0,28041,3,1,1,0,"_","Active","_","Stream Beat"
43,43,0,0,0,1,0,28446,3,1,1,0,"_","Active","_","Stream Beat"
44,44,0,0,0,1,0,33016,3,1,1,0,"_","Active","_","Stream Beat"
45,45,0,0,0,1,0,23390,3,1,1,0,"_","Active","_","Stream Beat"
46,46,0,0,0,1,0,28578,3,1,1,0,"_","Active","_","Stream Beat"
47,47,0,0,0,1,0,23459,3,1,1,0,"_","Active","_","Stream Beat"
48,48,0,0,0,1,0,25523,3,1,1,0,"_","Active","_","Stream Beat"
49,49,0,0,0,1,0,27699,3,1,1,0,"_","Active","_","Stream Beat"
50,50,0,0,0,1,0,34882,3,1,1,0,"_","Active","_","Stream Beat"
51,51,0,0,0,1,0,34003,3,1,1,0,"_","Active","_","Stream Beat"
52,52,0,0,0,1,0,43568,3,1,1,0,"_","Active","_","Stream Beat"
53,53,0,0,0,1,0,36252,3,1,1,0,"_","Active","_","Stream Beat"
54,54,0,0,0,1,0,36949,3,1,1,0,"_","Active","_","Stream Beat"
55,55,0,0,0,1,0,34750,3,1,1,0,"_","Active","_","Stream Beat"
56,56,0,0,0,1,0,31701,3,1,1,0,"_","Active","_","Stream Beat"
57,57,0,0,0,1,0,31565,3,1,1,0,"_","Active","_","Stream Beat"
58,58,0,0,0,1,0,31665,3,1,1,0,"_","Active","_","Stream Beat"
59,59,0,0,0,1,0,36017,3,1,1,0,"_","Active","_","Stream Beat"
60,60,0,0,0,1,0,51789,3,1,1,0,"_","Active","_","Stream Beat"
61,61,0,0,0,1,0,54851,3,1,1,0,"_","Active","_","Stream Beat"
62,62,0,0,0,1,0,23921,3,1,1,0,"_","Active","_","Stream Beat"
63,63,0,0,0,1,0,23826,3,1,1,0,"_","Active","_","Stream Beat"
64,64,0,0,0,1,0,28004,3,1,1,0,"_","Active","_","Stream Beat"
65,65,0,0,0,1,0,29142,3,1,1,0,"_","Active","_","Stream Beat"
66,66,0,0,0,1,0,31378,3,1,1,0,"_","Active","_","Stream Beat"
67,67,0,0,0,1,0,27105,3,1,1,0,"_","Active","_","Stream Beat"
68,68,0,0,0,1,0,30864,3,1,1,0,"_","Active","_","Stream Beat"
69,69,0,0,0,1,0,23132,3,1,1,0,"_","Active","_","Stream Beat"
70,70,0,0,0,1,0,2950,3,1,1,0,"_","Active","_","Stream Beat"
71,71,0,0,0,1,0,4165,3,1,1,0,"_","Active","_","Stream Beat"
72,72,0,0,0,1,0,4165,3,1,1,0,"_","Active","_","Stream Beat"
73,73,0,0,0,1,0,2950,3,1,1,0,"_","Active","_","Stream Beat"
74,74,0,0,0,1,0,23132,3,1,1,0,"_","Active","_","Stream Beat"
75,75,0,0,0,1,0,37257,3,1,1,0,"_","Active","_","Stream Beat"
76,76,0,0,0,1,0,32356,3,1,1,0,"_","Active","_","Stream Beat"
77,77,0,0,0,1,0,36774,3,1,1,0,"_","Active","_","Stream Beat"
78,78,0,0,0,1,0,36774,3,1,1,0,"_","Active","_","Stream Beat"
79,79,0,0,0,1,0,32356,3,1,1,0,"_","Active","_","Stream Beat"
80,80,0,0,0,1,0,37257,3,1,1,0,"_","Active","_","Stream Beat"
81,81,0,0,0,1,0,37466,3,1,1,0,"_","Active","_","Stream Beat"
82,82,0,0,0,1,0,42946,3,1,1,0,"_","Active","_","Stream Beat"
83,83,0,0,0,1,0,35922,3,1,1,0,"_","Active","_","Stream Beat"
84,84,0,0,0,1,0,30965,3,1,1,0,"_","Active","_","Stream Beat"
85,85,0,0,0,1,0,27712,3,1,1,0,"_","Active","_","Stream Beat"
86,86,0,0,0,1,0,17559,3,1,1,0,"_","Active","_","Stream Beat"
87,87,0,0,0,1,0,27426,3,1,1,0,"_","Active","_","Stream Beat"
88,88,0,0,0,1,0,22882,3,1,1,0,"_","Active","_","Stream Beat"
89,89,0,0,0,1,0,20395,3,1,1,0,"_","Active","_","Stream Beat"
90,90,0,0,0,1,0,18434,3,1,1,0,"_","Active","_","Stream Beat"
91,91,0,0,0,1,0,25784,3,1,1,0,"_","Active","_","Stream Beat"
92,92,0,0,0,1,0,24685,3,1,1,0,"_","Active","_","Stream Beat"
93,93,0,0,0,1,0,23394,3,1,1,0,"_","Active","_","Stream Beat"
94,94,0,0,0,1,0,31131,3,1,1,0,"_","Active","_","Stream Beat"
95,95,0,0,0,1,0,29807,3,1,1,0,"_","Active","_","Stream Beat"
96,96,0,0,0,1,0,21898,3,1,1,0,"_","Active","_","Stream Beat"
97,97,0,0,0,1,0,30508,3,1,1,0,"_","Active","_","Stream Beat"
98,98,0,0,0,1,0,34420,3,1,1,0,"_","Active","_","Stream Beat"
99,99,0,0,0,1,0,27090,3,1,1,0,"_","Active","_","Stream Beat"
100,100,0,0,0,1,0,29429,3,1,1,0,"_","Active","_","Stream Beat"
101,101,0,0,0,1,0,25563,3,1,1,0,"_","Active","_","Stream Beat"
102,102,0,0,0,1,0,26225,3,1,1,0,"_","Active","_","Stream Beat"
103,103,0,0,0,1,0,32746,3,1,1,0,"_","Active","_","Stream Beat"
104,104,0,0,0,1,0,26947,3,1,1,0,"_","Active","_","Stream Beat"
105,105,0,0,0,1,0,32716,3,1,1,0,"_","Active","_","Stream Beat"
106,106,0,0,0,1,0,23195,3,1,1,0,"_","Active","_","Stream Beat"
107,107,0,0,0,1,0,25851,3,1,1,0,"_","Active","_","Stream Beat"
108,108,0,0,0,1,0,34321,3,1,1,0,"_","Active","_","Stream Beat"
109,109,0,0,0,1,0,33468,3,1,1,0,"_","Active","_","Stream Beat"
110,110,0,0,0,1,0,31318,3,1,1,0,"_","Active","_","Stream Beat"
111,111,0,0,0,1,0,27601,3,1,1,0,"_","Active","_","Stream Beat"
112,112,0,0,0,1,0,35891,3,1,1,0,"_","Active","_","Stream Beat"
113,113,0,0,0,1,0,33203,3,1,1,0,"_","Active","_","Stream Beat"
